#Acquired:	08/19/2026 10:00:00
#Title:	Acetaminophen powder
#Acq. time (s):	15
#Accumulations:	3
#Range (cm-1):	200 - 3198
#Grating:	1800
#Objective:	x50
#Laser:	785
#Spectro:	iHR320
798.00	148.300
800.00	143.409
802.00	136.201
804.00	128.286
806.00	119.029
808.00	120.482
810.00	117.405
812.00	115.787
814.00	112.497
816.00	113.835
818.00	109.806
820.00	109.477
822.00	109.193
824.00	113.684
826.00	111.900
828.00	112.546
830.00	111.839
832.00	110.823
834.00	112.443
836.00	112.060
838.00	110.617
840.00	113.603
842.00	113.594
844.00	116.372
846.00	120.337
848.00	126.582
850.00	139.489
852.00	151.537
854.00	158.229
856.00	169.055
858.00	166.104
860.00	160.774
862.00	153.257
864.00	145.337
866.00	129.065
868.00	117.205
870.00	111.062
872.00	111.326
874.00	110.267
876.00	110.421
878.00	111.490
880.00	109.470
882.00	104.327
884.00	104.743
886.00	110.593
888.00	105.840
890.00	109.824
892.00	105.554
894.00	106.950
896.00	105.206
898.00	106.998
900.00	103.435
902.00	110.580
904.00	108.312
906.00	103.626
908.00	105.012
910.00	104.889
912.00	104.746
914.00	107.175
916.00	104.948
918.00	105.939
920.00	106.387
922.00	105.927
924.00	107.499
926.00	105.922
928.00	105.356
930.00	102.788
932.00	107.799
934.00	108.313
936.00	102.046
938.00	103.683
940.00	104.572
942.00	106.299
944.00	103.425
946.00	105.202
948.00	107.449
950.00	106.882
952.00	101.861
954.00	102.670
956.00	107.620
958.00	111.914
960.00	111.711
962.00	118.108
964.00	123.472
966.00	126.409
968.00	129.992
970.00	125.777
972.00	122.091
974.00	116.199
976.00	113.440
978.00	110.069
980.00	104.373
982.00	105.176
984.00	101.923
986.00	103.791
988.00	105.274
990.00	101.610
992.00	103.556
994.00	104.826
996.00	104.039
998.00	103.834
1000.00	102.507
1002.00	101.472
1004.00	100.234
1006.00	98.891
1008.00	101.829
1010.00	100.311
1012.00	98.487
1014.00	101.619
1016.00	101.455
1018.00	101.130
1020.00	98.951
1022.00	98.448
1024.00	98.827
1026.00	104.317
1028.00	98.038
1030.00	98.660
1032.00	97.985
1034.00	99.973
1036.00	99.310
1038.00	101.369
1040.00	99.218
1042.00	97.428
1044.00	99.902
1046.00	99.369
1048.00	99.200
1050.00	100.257
1052.00	100.885
1054.00	100.935
1056.00	97.963
1058.00	96.987
1060.00	96.502
1062.00	96.470
1064.00	98.998
1066.00	96.625
1068.00	100.852
1070.00	98.646
1072.00	97.469
1074.00	99.938
1076.00	95.434
1078.00	99.213
1080.00	95.003
1082.00	100.867
1084.00	95.404
1086.00	93.184
1088.00	95.855
1090.00	95.390
1092.00	98.002
1094.00	100.957
1096.00	99.975
1098.00	94.316
1100.00	96.510
1102.00	97.652
1104.00	97.047
1106.00	99.623
1108.00	97.984
1110.00	93.124
1112.00	95.748
1114.00	94.839
1116.00	96.893
1118.00	94.141
1120.00	95.573
1122.00	95.645
1124.00	97.754
1126.00	93.785
1128.00	94.270
1130.00	95.410
1132.00	95.945
1134.00	95.701
1136.00	98.902
1138.00	95.265
1140.00	94.598
1142.00	98.411
1144.00	95.843
1146.00	98.409
1148.00	93.718
1150.00	97.594
1152.00	98.494
1154.00	103.698
1156.00	105.425
1158.00	109.784
1160.00	117.716
1162.00	119.122
1164.00	126.334
1166.00	131.189
1168.00	130.931
1170.00	131.377
1172.00	126.998
1174.00	121.043
1176.00	116.595
1178.00	106.207
1180.00	104.354
1182.00	99.419
1184.00	92.661
1186.00	95.542
1188.00	94.963
1190.00	88.907
1192.00	96.499
1194.00	94.881
1196.00	90.506
1198.00	92.836
1200.00	90.863
1202.00	88.888
1204.00	93.602
1206.00	90.737
1208.00	92.891
1210.00	91.987
1212.00	92.623
1214.00	92.253
1216.00	88.911
1218.00	91.804
1220.00	96.444
1222.00	97.526
1224.00	102.189
1226.00	108.398
1228.00	117.698
1230.00	128.051
1232.00	138.970
1234.00	140.487
1236.00	150.402
1238.00	142.237
1240.00	136.149
1242.00	127.295
1244.00	117.598
1246.00	108.777
1248.00	102.453
1250.00	93.467
1252.00	89.822
1254.00	90.269
1256.00	87.834
1258.00	91.602
1260.00	91.554
1262.00	89.582
1264.00	90.395
1266.00	89.121
1268.00	86.660
1270.00	88.340
1272.00	88.591
1274.00	88.202
1276.00	87.005
1278.00	90.956
1280.00	88.226
1282.00	90.292
1284.00	89.290
1286.00	85.319
1288.00	87.316
1290.00	84.717
1292.00	88.232
1294.00	91.614
1296.00	85.600
1298.00	91.339
1300.00	86.504
1302.00	88.976
1304.00	91.658
1306.00	94.175
1308.00	97.142
1310.00	107.184
1312.00	113.069
1314.00	123.402
1316.00	133.990
1318.00	144.702
1320.00	152.205
1322.00	154.636
1324.00	156.203
1326.00	150.669
1328.00	144.744
1330.00	134.040
1332.00	122.285
1334.00	111.684
1336.00	105.445
1338.00	95.473
1340.00	92.879
1342.00	91.844
1344.00	88.691
1346.00	86.781
1348.00	87.046
1350.00	86.682
1352.00	85.096
1354.00	86.150
1356.00	83.194
1358.00	84.232
1360.00	82.867
1362.00	82.888
1364.00	82.316
1366.00	85.655
1368.00	83.567
1370.00	84.592
1372.00	84.593
1374.00	83.681
1376.00	87.247
1378.00	85.915
1380.00	86.031
1382.00	82.677
1384.00	83.191
1386.00	79.751
1388.00	87.604
1390.00	87.346
1392.00	83.109
1394.00	85.124
1396.00	86.253
1398.00	83.757
1400.00	82.092
1402.00	86.128
1404.00	81.344
1406.00	82.282
1408.00	84.666
1410.00	82.368
1412.00	83.404
1414.00	84.601
1416.00	84.053
1418.00	80.837
1420.00	84.849
1422.00	86.121
1424.00	80.872
1426.00	84.234
1428.00	85.596
1430.00	81.716
1432.00	84.271
1434.00	84.008
1436.00	83.276
1438.00	79.997
1440.00	80.294
1442.00	87.295
1444.00	86.303
1446.00	82.704
1448.00	83.818
1450.00	79.583
1452.00	86.337
1454.00	82.866
1456.00	80.237
1458.00	81.549
1460.00	79.659
1462.00	85.348
1464.00	79.388
1466.00	83.012
1468.00	81.856
1470.00	79.897
1472.00	82.879
1474.00	84.501
1476.00	79.568
1478.00	83.640
1480.00	83.098
1482.00	80.778
1484.00	80.797
1486.00	81.785
1488.00	80.919
1490.00	81.644
1492.00	77.069
1494.00	79.096
1496.00	79.880
1498.00	85.151
1500.00	78.654
1502.00	80.823
1504.00	74.865
1506.00	80.534
1508.00	80.146
1510.00	78.617
1512.00	78.350
1514.00	80.506
1516.00	81.064
1518.00	78.735
1520.00	79.653
1522.00	78.110
1524.00	78.564
1526.00	80.996
1528.00	80.264
1530.00	79.106
1532.00	80.854
1534.00	77.422
1536.00	80.144
1538.00	80.346
1540.00	83.878
1542.00	83.889
1544.00	85.575
1546.00	91.953
1548.00	91.132
1550.00	98.671
1552.00	107.083
1554.00	110.658
1556.00	119.233
1558.00	125.079
1560.00	128.557
1562.00	127.494
1564.00	127.151
1566.00	116.714
1568.00	114.130
1570.00	105.313
1572.00	97.657
1574.00	92.817
1576.00	84.918
1578.00	83.552
1580.00	81.019
1582.00	80.305
1584.00	75.933
1586.00	79.607
1588.00	77.715
1590.00	76.238
1592.00	76.203
1594.00	75.619
1596.00	80.030
1598.00	78.305
1600.00	676.846
1602.00	78.220
1604.00	78.531
1606.00	76.503
1608.00	77.312
1610.00	76.302
1612.00	77.976
1614.00	76.809
1616.00	75.507
1618.00	76.393
1620.00	74.862
1622.00	77.020
1624.00	77.391
1626.00	83.023
1628.00	78.562
1630.00	77.083
1632.00	82.419
1634.00	84.817
1636.00	89.170
1638.00	99.601
1640.00	104.163
1642.00	111.759
1644.00	116.164
1646.00	119.450
1648.00	119.170
1650.00	118.136
1652.00	115.283
1654.00	110.770
1656.00	103.596
1658.00	94.816
1660.00	89.624
1662.00	84.170
1664.00	80.416
1666.00	77.983
1668.00	77.149
1670.00	77.036
1672.00	76.172
1674.00	71.836
1676.00	76.135
1678.00	72.918
1680.00	72.686
1682.00	69.657
1684.00	73.770
1686.00	72.829
1688.00	74.979
1690.00	75.198
1692.00	79.430
1694.00	71.023
1696.00	72.042
1698.00	78.803
1700.00	73.446
1702.00	69.764
1704.00	73.061
1706.00	70.178
1708.00	72.773
1710.00	72.247
1712.00	72.101
1714.00	74.210
1716.00	73.109
1718.00	74.869
1720.00	76.983
1722.00	74.059
1724.00	67.536
1726.00	77.088
1728.00	69.452
1730.00	72.347
1732.00	72.859
1734.00	72.829
1736.00	74.635
1738.00	73.363
1740.00	72.998
1742.00	72.298
1744.00	71.167
1746.00	74.255
1748.00	73.015
1750.00	76.246
1752.00	72.257
1754.00	71.780
1756.00	73.876
1758.00	73.142
1760.00	71.292
1762.00	71.374
1764.00	71.094
1766.00	71.666
1768.00	73.003
1770.00	68.363
1772.00	73.018
1774.00	72.089
1776.00	70.716
1778.00	77.081
1780.00	71.208
1782.00	73.735
1784.00	74.279
1786.00	73.033
1788.00	72.348
1790.00	75.009
1792.00	72.407
1794.00	68.543
1796.00	68.396
1798.00	69.260
1800.00	71.564
1802.00	72.326
1804.00	71.272
1806.00	72.331
1808.00	70.014
1810.00	75.559
1812.00	69.001
1814.00	69.324
1816.00	74.349
1818.00	71.308
1820.00	70.299
1822.00	71.953
1824.00	71.693
1826.00	67.661
1828.00	68.945
1830.00	70.844
1832.00	71.714
1834.00	68.237
1836.00	66.731
1838.00	69.404
1840.00	71.166
1842.00	71.925
1844.00	68.780
1846.00	67.551
1848.00	70.494
1850.00	68.889
1852.00	69.444
1854.00	68.962
1856.00	68.494
1858.00	69.509
1860.00	70.346
1862.00	67.314
1864.00	69.130
1866.00	71.384
1868.00	71.090
1870.00	70.379
1872.00	67.848
1874.00	69.644
1876.00	69.419
1878.00	71.634
1880.00	68.686
1882.00	68.780
1884.00	70.828
1886.00	68.337
1888.00	68.476
1890.00	68.273
1892.00	67.199
1894.00	71.433
1896.00	71.373
1898.00	69.742
1900.00	65.737
1902.00	66.866
1904.00	66.967
1906.00	69.339
1908.00	71.519
1910.00	71.173
1912.00	69.744
1914.00	70.184
1916.00	69.419
1918.00	66.273
1920.00	69.206
1922.00	66.730
1924.00	64.417
1926.00	67.630
1928.00	67.316
1930.00	69.008
1932.00	66.448
1934.00	65.326
1936.00	69.793
1938.00	69.654
1940.00	71.943
1942.00	69.170
1944.00	67.957
1946.00	65.972
1948.00	67.376
1950.00	68.612
1952.00	69.182
1954.00	68.106
1956.00	69.505
1958.00	65.063
1960.00	70.694
1962.00	68.119
1964.00	68.783
1966.00	66.118
1968.00	64.237
1970.00	66.158
1972.00	68.877
1974.00	70.745
1976.00	68.257
1978.00	63.676
1980.00	66.626
1982.00	67.278
1984.00	69.721
1986.00	66.683
1988.00	65.616
1990.00	67.689
1992.00	65.641
1994.00	67.627
1996.00	64.725
1998.00	64.692
2000.00	65.441
2002.00	68.771
2004.00	66.464
2006.00	69.442
2008.00	65.706
2010.00	70.198
2012.00	63.970
2014.00	67.460
2016.00	65.778
2018.00	64.768
2020.00	66.325
2022.00	64.976
2024.00	66.968
2026.00	64.246
2028.00	65.833
2030.00	66.555
2032.00	68.423
2034.00	72.335
2036.00	66.563
2038.00	66.772
2040.00	66.529
2042.00	63.093
2044.00	67.762
2046.00	66.252
2048.00	66.563
2050.00	67.335
2052.00	69.143
2054.00	63.085
2056.00	66.757
2058.00	65.075
2060.00	65.473
2062.00	65.676
2064.00	67.506
2066.00	68.632
2068.00	66.949
2070.00	64.480
2072.00	66.354
2074.00	66.680
2076.00	64.535
2078.00	63.974
2080.00	62.107
2082.00	66.724
2084.00	66.451
2086.00	66.704
2088.00	65.140
2090.00	69.085
2092.00	61.293
2094.00	61.578
2096.00	63.537
2098.00	60.038
2100.00	67.197
2102.00	67.320
2104.00	64.866
2106.00	66.648
2108.00	65.735
2110.00	64.583
2112.00	64.574
2114.00	63.460
2116.00	66.773
2118.00	61.775
2120.00	67.357
2122.00	67.203
2124.00	64.569
2126.00	65.427
2128.00	67.300
2130.00	66.217
2132.00	58.640
2134.00	63.200
2136.00	67.689
2138.00	63.095
2140.00	64.440
2142.00	66.482
2144.00	62.893
2146.00	64.865
2148.00	66.305
2150.00	62.971
2152.00	66.901
2154.00	62.635
2156.00	62.887
2158.00	65.042
2160.00	63.317
2162.00	65.659
2164.00	62.956
2166.00	61.012
2168.00	64.250
2170.00	64.543
2172.00	64.848
2174.00	64.071
2176.00	66.800
2178.00	62.267
2180.00	61.947
2182.00	64.857
2184.00	66.909
2186.00	62.483
2188.00	61.758
2190.00	60.808
2192.00	64.730
2194.00	65.083
2196.00	62.543
2198.00	61.996
2200.00	61.650
2202.00	63.104
2204.00	63.479
2206.00	61.256
2208.00	63.262
2210.00	62.134
2212.00	61.849
2214.00	58.847
2216.00	61.456
2218.00	61.525
2220.00	66.465
2222.00	63.795
2224.00	59.693
2226.00	60.753
2228.00	61.051
2230.00	62.460
2232.00	63.256
2234.00	62.525
2236.00	65.393
2238.00	63.013
2240.00	60.000
2242.00	61.928
2244.00	61.438
2246.00	59.514
2248.00	59.498
2250.00	60.391
2252.00	60.087
2254.00	59.997
2256.00	59.070
2258.00	65.146
2260.00	60.093
2262.00	61.372
2264.00	62.066
2266.00	59.907
2268.00	62.583
2270.00	60.818
2272.00	57.207
2274.00	60.565
2276.00	61.583
2278.00	59.810
2280.00	61.408
2282.00	60.964
2284.00	60.890
2286.00	57.399
2288.00	59.205
2290.00	64.478
2292.00	64.525
2294.00	62.161
2296.00	60.125
2298.00	59.832
2300.00	62.749
2302.00	57.014
2304.00	61.662
2306.00	59.238
2308.00	63.572
2310.00	60.380
2312.00	62.260
2314.00	62.560
2316.00	60.011
2318.00	58.503
2320.00	61.268
2322.00	59.529
2324.00	55.973
2326.00	57.850
2328.00	60.212
2330.00	59.497
2332.00	60.382
2334.00	59.459
2336.00	59.745
2338.00	56.983
2340.00	61.206
2342.00	58.464
2344.00	60.564
2346.00	60.052
2348.00	58.248
2350.00	57.044
2352.00	61.115
2354.00	60.211
2356.00	61.569
2358.00	60.236
2360.00	57.684
2362.00	55.686
2364.00	59.968
2366.00	58.146
2368.00	64.136
2370.00	61.915
2372.00	60.583
2374.00	59.535
2376.00	57.946
2378.00	62.058
2380.00	57.761
2382.00	60.814
2384.00	58.932
2386.00	60.332
2388.00	62.086
2390.00	60.028
2392.00	65.158
2394.00	58.387
2396.00	59.578
2398.00	57.437
2400.00	57.662
2402.00	58.768
2404.00	59.376
2406.00	59.401
2408.00	59.354
2410.00	60.512
2412.00	60.249
2414.00	62.178
2416.00	58.737
2418.00	56.494
2420.00	57.984
2422.00	63.344
2424.00	58.701
2426.00	61.499
2428.00	58.377
2430.00	60.190
2432.00	60.647
2434.00	57.602
2436.00	56.911
2438.00	57.497
2440.00	57.397
2442.00	56.032
2444.00	57.726
2446.00	58.364
2448.00	58.373
2450.00	56.842
2452.00	56.994
2454.00	56.512
2456.00	56.901
2458.00	55.930
2460.00	58.407
2462.00	55.285
2464.00	57.258
2466.00	58.411
2468.00	61.648
2470.00	57.666
2472.00	57.319
2474.00	59.094
2476.00	58.998
2478.00	60.319
2480.00	61.306
2482.00	58.644
2484.00	55.951
2486.00	57.887
2488.00	58.160
2490.00	56.678
2492.00	58.462
2494.00	58.839
2496.00	55.644
2498.00	59.238
2500.00	57.170
2502.00	55.787
2504.00	57.630
2506.00	56.483
2508.00	53.253
2510.00	57.738
2512.00	59.754
2514.00	56.507
2516.00	58.154
2518.00	54.939
2520.00	55.140
2522.00	55.711
2524.00	55.196
2526.00	58.367
2528.00	55.476
2530.00	53.998
2532.00	55.696
2534.00	57.934
2536.00	55.973
2538.00	56.506
2540.00	57.545
2542.00	58.335
2544.00	57.764
2546.00	54.501
2548.00	58.283
2550.00	57.681
2552.00	56.981
2554.00	57.190
2556.00	58.851
2558.00	54.660
2560.00	55.044
2562.00	55.424
2564.00	57.483
2566.00	53.578
2568.00	57.359
2570.00	56.751
2572.00	57.809
2574.00	54.533
2576.00	55.626
2578.00	56.079
2580.00	57.570
2582.00	59.481
2584.00	55.419
2586.00	53.378
2588.00	55.246
2590.00	56.401
2592.00	57.521
2594.00	57.964
2596.00	56.445
2598.00	58.272
2600.00	60.471
2602.00	55.980
2604.00	59.677
2606.00	56.685
2608.00	58.097
2610.00	55.917
2612.00	55.509
2614.00	57.278
2616.00	53.917
2618.00	58.330
2620.00	52.395
2622.00	53.668
2624.00	57.272
2626.00	53.092
2628.00	53.784
2630.00	55.544
2632.00	59.602
2634.00	60.424
2636.00	51.850
2638.00	57.173
2640.00	54.062
2642.00	56.419
2644.00	58.670
2646.00	56.925
2648.00	55.954
2650.00	57.796
2652.00	55.175
2654.00	55.637
2656.00	53.809
2658.00	55.007
2660.00	56.623
2662.00	56.188
2664.00	55.966
2666.00	54.359
2668.00	54.273
2670.00	57.428
2672.00	55.106
2674.00	55.014
2676.00	55.416
2678.00	53.851
2680.00	50.628
2682.00	55.514
2684.00	54.520
2686.00	54.274
2688.00	54.089
2690.00	53.482
2692.00	57.760
2694.00	53.802
2696.00	56.420
2698.00	55.705
2700.00	56.283
2702.00	56.827
2704.00	53.949
2706.00	54.298
2708.00	54.998
2710.00	56.845
2712.00	58.551
2714.00	55.262
2716.00	54.028
2718.00	53.366
2720.00	52.647
2722.00	52.082
2724.00	57.220
2726.00	55.429
2728.00	56.478
2730.00	54.586
2732.00	54.273
2734.00	54.372
2736.00	54.027
2738.00	53.421
2740.00	55.512
2742.00	53.983
2744.00	55.248
2746.00	53.753
2748.00	52.047
2750.00	55.838
2752.00	55.984
2754.00	55.203
2756.00	53.080
2758.00	53.540
2760.00	51.547
2762.00	55.030
2764.00	54.838
2766.00	52.806
2768.00	51.775
2770.00	55.757
2772.00	56.035
2774.00	55.692
2776.00	56.844
2778.00	52.809
2780.00	52.382
2782.00	55.638
2784.00	54.044
2786.00	49.369
2788.00	48.894
2790.00	53.235
2792.00	52.267
2794.00	52.524
2796.00	55.886
2798.00	52.771
2800.00	51.917
2802.00	58.187
2804.00	52.992
2806.00	51.603
2808.00	53.004
2810.00	56.597
2812.00	52.865
2814.00	53.228
2816.00	52.439
2818.00	53.758
2820.00	53.033
2822.00	51.814
2824.00	54.471
2826.00	54.518
2828.00	53.260
2830.00	54.944
2832.00	54.868
2834.00	52.183
2836.00	52.201
2838.00	55.299
2840.00	53.706
2842.00	54.215
2844.00	55.870
2846.00	49.842
2848.00	52.835
2850.00	51.624
2852.00	52.783
2854.00	55.972
2856.00	50.396
2858.00	56.282
2860.00	53.536
2862.00	53.715
2864.00	51.315
2866.00	54.660
2868.00	49.719
2870.00	52.566
2872.00	56.600
2874.00	52.141
2876.00	51.508
2878.00	54.254
2880.00	51.072
2882.00	50.356
2884.00	54.513
2886.00	53.733
2888.00	49.968
2890.00	53.009
2892.00	54.544
2894.00	53.507
2896.00	54.292
2898.00	50.319
2900.00	55.596
2902.00	50.520
2904.00	57.999
2906.00	50.911
2908.00	53.244
2910.00	54.508
2912.00	54.901
2914.00	52.051
2916.00	56.800
2918.00	54.566
2920.00	47.657
2922.00	53.308
2924.00	52.423
2926.00	47.392
2928.00	50.168
2930.00	49.794
2932.00	54.902
2934.00	52.480
2936.00	50.766
2938.00	51.011
2940.00	51.904
2942.00	52.569
2944.00	50.446
2946.00	54.164
2948.00	53.872
2950.00	51.092
2952.00	49.918
2954.00	53.694
2956.00	50.417
2958.00	51.004
2960.00	49.524
2962.00	49.132
2964.00	52.122
2966.00	50.487
2968.00	52.321
2970.00	53.518
2972.00	52.844
2974.00	48.856
2976.00	55.643
2978.00	52.248
2980.00	49.806
2982.00	55.163
2984.00	52.114
2986.00	50.359
2988.00	49.005
2990.00	54.369
2992.00	47.385
2994.00	53.727
2996.00	52.976
2998.00	54.206
3000.00	54.370
3002.00	53.149
3004.00	47.892
3006.00	53.036
3008.00	49.549
3010.00	48.941
3012.00	50.394
3014.00	51.185
3016.00	50.040
3018.00	53.271
3020.00	49.929
3022.00	50.596
3024.00	48.878
3026.00	53.096
3028.00	49.873
3030.00	52.810
3032.00	54.468
3034.00	50.429
3036.00	52.301
3038.00	52.061
3040.00	52.099
3042.00	51.355
3044.00	49.117
3046.00	51.847
3048.00	48.895
3050.00	50.483
3052.00	52.435
3054.00	52.529
3056.00	49.376
3058.00	48.745
3060.00	52.760
3062.00	49.552
3064.00	51.516
3066.00	53.587
3068.00	52.436
3070.00	51.843
3072.00	45.348
3074.00	51.893
3076.00	51.239
3078.00	48.330
3080.00	47.440
3082.00	48.658
3084.00	51.008
3086.00	51.747
3088.00	51.643
3090.00	53.271
3092.00	47.509
3094.00	48.845
3096.00	52.461
3098.00	49.095
3100.00	50.478
3102.00	51.096
3104.00	49.424
3106.00	52.244
3108.00	52.336
3110.00	51.089
3112.00	48.375
3114.00	49.492
3116.00	48.709
3118.00	50.662
3120.00	50.913
3122.00	48.907
3124.00	53.483
3126.00	51.262
3128.00	51.365
3130.00	51.863
3132.00	53.925
3134.00	52.235
3136.00	51.386
3138.00	50.329
3140.00	49.182
3142.00	50.775
3144.00	49.707
3146.00	52.484
3148.00	51.606
3150.00	46.865
3152.00	51.378
3154.00	50.565
3156.00	50.370
3158.00	49.572
3160.00	52.119
3162.00	51.552
3164.00	49.311
3166.00	52.521
3168.00	49.267
3170.00	49.635
3172.00	53.501
3174.00	51.334
3176.00	49.984
3178.00	49.597
3180.00	48.314
3182.00	50.694
3184.00	52.376
3186.00	47.605
3188.00	49.873
3190.00	49.087
3192.00	46.280
3194.00	48.980
3196.00	51.056
3198.00	48.057
